work_id,rule_id,rule_name,rule_category,legal_strength,state,constituency,mp_name,house,ida,work_type,work_category,sanction_amount,total_fund_disbursed,work_status,rule_state,reason,source_fields,data_gaps,auditor_verification_items
262075,MPLADS23-SOC-001,Trust/Society Work Single Financial Ceiling (₹50 Lakh),TRUST_SOCIETY,MANDATORY_FINANCIAL_LIMIT,Kerala,Sitting Rajya Sabha,Dr. V. Sivadasan,Rajya Sabha,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),NA-Construction of stadiums,Trust and Society,9500000.0,0.0,Pending for Sanction,FAIL,"Sanctioned amount of INR 9,500,000.00 exceeds the statutory ceiling of INR 50.00 Lakh for a single Trust/Society work under MPLADS Guidelines 2023 Para 3.23.",work_category; sanction_amount; threshold_inr,None,NITI Aayog NGO Darpan Registration Certificate; Society Registration Certificate / Trust Deed; 3-year audited financial statements of the beneficiary Trust/Society; District Authority sanction approval minutes
290981,MPLADS23-SOC-001,Trust/Society Work Single Financial Ceiling (₹50 Lakh),TRUST_SOCIETY,MANDATORY_FINANCIAL_LIMIT,Kerala,Nominated Rajya Sabha,Smt. P. T. Usha,Rajya Sabha,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),NA-Construction of rooms and halls in school and colleges,Trust and Society,7500000.0,0.0,Pending for Sanction,FAIL,"Sanctioned amount of INR 7,500,000.00 exceeds the statutory ceiling of INR 50.00 Lakh for a single Trust/Society work under MPLADS Guidelines 2023 Para 3.23.",work_category; sanction_amount; threshold_inr,None,NITI Aayog NGO Darpan Registration Certificate; Society Registration Certificate / Trust Deed; 3-year audited financial statements of the beneficiary Trust/Society; District Authority sanction approval minutes
141185,MPLADS23-FIN-001,Disbursement Without Administrative Sanction,FINANCIAL,MANDATORY_PROHIBITION,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,18th Lok Sabha,MOGA(Deputy Commissioner Moga),Construction of buildings for multi-gym,Normal/Others,800000.0,454775.0,Pending for Sanction,FAIL,"Disbursement of INR 454,775.00 has been recorded while the work status remains 'Pending for Sanction'. MoSPI Guidelines Para 3.11 prohibit fund release prior to formal Administrative Sanction.",work_status; sanction_amount; total_fund_disbursed,None,Signed Administrative Sanction Order; Sanction approval date and sanction number; District Authority disbursement release register; Payment voucher authorization docket
220383,MPLADS23-FIN-001,Disbursement Without Administrative Sanction,FINANCIAL,MANDATORY_PROHIBITION,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,18th Lok Sabha,MOGA(Deputy Commissioner Moga),Providing CCTV camera system for security of public areas,Normal/Others,1300000.0,492960.0,Pending for Sanction,FAIL,"Disbursement of INR 492,960.00 has been recorded while the work status remains 'Pending for Sanction'. MoSPI Guidelines Para 3.11 prohibit fund release prior to formal Administrative Sanction.",work_status; sanction_amount; total_fund_disbursed,None,Signed Administrative Sanction Order; Sanction approval date and sanction number; District Authority disbursement release register; Payment voucher authorization docket
239748,MPLADS23-FIN-001,Disbursement Without Administrative Sanction,FINANCIAL,MANDATORY_PROHIBITION,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,18th Lok Sabha,MOGA(Deputy Commissioner Moga),Purchase of mobile water tankers,Normal/Others,200000.0,200000.0,Pending for Sanction,FAIL,"Disbursement of INR 200,000.00 has been recorded while the work status remains 'Pending for Sanction'. MoSPI Guidelines Para 3.11 prohibit fund release prior to formal Administrative Sanction.",work_status; sanction_amount; total_fund_disbursed,None,Signed Administrative Sanction Order; Sanction approval date and sanction number; District Authority disbursement release register; Payment voucher authorization docket
239767,MPLADS23-FIN-001,Disbursement Without Administrative Sanction,FINANCIAL,MANDATORY_PROHIBITION,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,18th Lok Sabha,MOGA(Deputy Commissioner Moga),Purchase of mobile water tankers,Normal/Others,200000.0,200000.0,Pending for Sanction,FAIL,"Disbursement of INR 200,000.00 has been recorded while the work status remains 'Pending for Sanction'. MoSPI Guidelines Para 3.11 prohibit fund release prior to formal Administrative Sanction.",work_status; sanction_amount; total_fund_disbursed,None,Signed Administrative Sanction Order; Sanction approval date and sanction number; District Authority disbursement release register; Payment voucher authorization docket
114399,MPLADS23-FIN-002,Cumulative Disbursement Exceeding Sanction,FINANCIAL,MANDATORY_FINANCIAL_LIMIT,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah,17th Lok Sabha,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Construction of footpaths and pedestrian ways,Normal/Others,200000.0,202350.0,Work Completed,FAIL,"Total fund disbursed (INR 202,350.00) exceeds the sanctioned amount (INR 200,000.00) by INR 2,350.00, exceeding the numerical tolerance of INR 100. MoSPI Para 3.11 requires revised sanction approval for cost escalations.",sanction_amount; total_fund_disbursed; excess_inr; epsilon_inr,None,Revised Administrative Sanction Order (if cost escalated); Technical Sanction and Variation Order; Contractor final bill and Measurement Book (MB) sign-off
